node1,node2
aci-europe,acciona
aci-europe,gdf-suez
acogen,bp
acogen,dow
acogen,gdf-suez
acogen,repsol
acogen,solvay
acogen,veolia
adhr,czech chamber of commerce
aebiom,austrian biomass association
aebiom,edf
aebiom,edora
aebiom,esb
aebiom,enea
aebiom,eneco
aebiom,fortum
aebiom,apren
aebiom,rwe
aebiom,appa
aebiom,statkraft
aebiom,svebio
aebiom,veolia
aee,acciona
aee,edp
aee,ge
aee,iberdrola
aee,shell
aee,vestas
aegpl,apetro
aegpl,repsol
afep,alstom
afep,gdf-suez
afep,solvay
afep,ge
afep,shell
afep,veolia
afep,nestle
afep,total
afep,schneider electric
aie,wko
aive,feve
amcham,3m
amcham,dow
amcham,first solar
amcham,ge
anigas,edison
anigas,enel
anigas,gdf-suez
anigas,eni
anigas,shell
anigas,solvay
aop,repsol
aop,shell
apere,edora
apere,greenpeace
apetro,bp
apetro,repsol
apetro,total
appa,acciona
appa,veolia
appa,edp
assoelettrica,a2a
assoelettrica,edf
assoelettrica,edison
assoelettrica,enel
assoelettrica,eni
bundesverband der glasindustrie,wiegand glas
business europe,confindustria
business europe,lewiatan
business europe,cip
business europe,ceoe
can,actionaid
can,birdlife
can,e3g
can,friends of the earth
can,nabu
can,greenpeace
can,hespul
can,wwf
ccsa,bp
ccsa,shell
ccsa,statoil
ccsa,total
cecodhas,gdw
cefic,3m
cefic,basf
cefic,borealis
cefic,bp
cefic,dow
cefic,repsol
cefic,shell
cefic,solvay
cefic,total
cefic,novozymes
cefic,statoil
cefic,essenscia
cefic,schp
cefic,euro chlor
cefic,plastics europe
cefic,uic
cefic,federchimica
cefic,ikem
cepi,ffif
cewep,fortum
change partnership,can
change partnership,e3g
cip,edp
cip,solvay
climate kic,climate strategies
climate kic,a2a
climate kic,eon
climate kic,enea
climate kic,gdf-suez
climate kic,i4ce
climate kic,veolia
climate kic,wwf
coalition energy savings,client earth
coalition energy savings,can
coalition energy savings,climate alliance
coalition energy savings,e3g
coalition energy savings,evve
coalition energy savings,ehi
coalition energy savings,energy cities
coalition energy savings,pu europe
coalition energy savings,eeb
coalition energy savings,efiees
coalition energy savings,friends of the earth
coalition energy savings,glass for europe
coalition energy savings,rescoop
coalition energy savings,euroace
coalition energy savings,eu ase
coalition energy savings,eceee
coalition energy savings,eurima
coalition energy savings,t&e
coalition energy savings,wwf
cogen,acogen
cogen,eon
cogen,gdf-suez
cogen,fortum
cogen,ge
cogen,iberdrola
cogen,shell
cogen,shv
cogen,veolia
cogen,wartsila
confederation finnish industries,finnish energy industries
deneff,3m
deneff,climate kic
deneff,eon
deneff,gdf-suez
deneff,knauf
deneff,velux
deneff,veolia
dnr,nabu
dnr,wwf
eai,bord gais eireann
eai,esb
eai,sse
ease,basf
ease,edf
ease,enel
ease,gdf-suez
ease,ge
ease,iberdrola
ebc,wko
ebtp,bellona
ebtp,total
ebtp,eon
eceee,edf
eceee,schneider electric
eceee,velux
eceee,euroace
eceee,eurima
edora,apere
edora,edf
edora,edp
edora,eneco
edora,gdf-suez
edora,eni
edora,schneider electric
edora,veolia
edora,vestas
edso,iberdrola
edso,edp
edso,enea
edso,eon
edso,vattenfall
efet,a2a
efet,bp
efet,eon
efet,edf
efet,edison
efet,edp
efet,esb
efet,enel
efet,gdf-suez
efet,eni
efet,fortum
efet,iberdrola
efet,shell
efet,statkraft
efet,total
efet,verbund
efet,enea
efet,omv
efet,sse
egec,appa
egec,gdf-suez
egec,enel
emiri,3m
emiri,solvay
energy partnership,dong
energy partnership,first solar
energy partnership,ge
energy partnership,shell
energy partnership,vestas
energy uk,eon
energy uk,edf
energy uk,gdf-suez
energy uk,esb
energy uk,national grid
energy uk,sse
epia,enel
epia,eni
epia,first solar
epia,eon
epia,gdf-suez
epia,total
epia,ecohz
epia,edf
epia,edp
epia,fortum
epia,iberdrola
epia,ikea
epia,schneider electric
epia,wartsila
epia,appa
epia,apren
epia,edora
epia,rea
eppsa,cogen
eppsa,ease
eppsa,euracoal
eppsa,eurelectric
eppsa,eurogas
eppsa,euturbines
eppsa,zep
epure,novozymes
erec,aebiom
erec,egec
erec,epia
erec,eref
erec,estif
erec,ewea
eref,eba
eref,edora
eref,hespul
eref,apren
eref,appa
eref,rea
essenscia,3m
essenscia,basf
essenscia,borealis
essenscia,bp
essenscia,dow
essenscia,eni
essenscia,ineos
essenscia,solvay
essenscia,total
erea,aebiom
erea,fortum
etrma,essenscia
eu ase,knauf
eu ase,schneider electric
eu ase,e3g
eu ase,veolia
eurelectric,eai
eurelectric,pkee
eurelectric,swedenergy
eurelectric,energy uk
eurelectric,wartsila
eurelectric,febeg
euro chlor,basf
euro chlor,dow
euro chlor,eni
euro chlor,schp
euro chlor,essenscia
euro chlor,ikem
euroace,knauf
euroace,pu europe
euroace,velux
euroace,can
euroace,wwf
euroace,wgbc
euroace,coalition energy savings
euroace,eceee
euroalliages,finnfjord
eurofer,federacciai
eurofer,jernkontoret
eurogas,anigas
eurogas,edison
eurogas,energy uk
eurogas,gdf-suez
