,name_id,name,belief,timestamp,type,type_int,type_id,block_ID35,block_ID34,roctopus_constraint,power_pos,n_power_pos,members_power,power_idea,n_power_idea,legal_status,scope,country,country_type,country_id,resource_lob,resources_raw,resources_cat,ln_resource_lob,revenue,lnrevenue,degree_aff,betweeness_aff,lnbetweenness_aff,constraint_aff,ens_aff,lnens_aff,n_pref,overlap_cons,lnoverlap_cons,bonacich_pos03,bonacich_neg05,bonacich_company_neg,bonachich_aff_pos,bonacich_company_pos,entropy_raw,lnentropy_norm,zentropy_norm,betweenness_norm,constraint_norm,inter_term
1,1,3m,a,02/07/2013 17:12,Companies & groups,1,2,1,1,17,0,0,,0,0,corporation,global,usa,usa_0,19,649999.5,"1,000,000 € - 1,249,999",6,13.38472687,7831000,15.87360077,7,535.5810109,6.283352159,0.159884311,6.428571429,1.860752341,5,16.70588235,2.815760894,0,0,-4.903728342,-1.127920277,-1.507576582,1.039720771,0.038952188,0.815695096,534.9778424,-1.221358035,
2,2,a2a,b,28/06/2013 17:24,Companies & groups,1,2,2,2,28,0,0,,1,2,corporation,european,italy,italy_0,10,1374999.5,"100,000 € - 199,999 €",7,14.13396393,362000000,19.70715477,4,135.0544516,4.905678042,0.25,4,1.386294361,6,9.785714286,2.280923596,0,0,-0.475738649,-12.94854661,2.809725359,0.641114819,-0.444546713,0.205039117,134.4512831,-1.131242346,
3,3,acciona,a,20/06/2013 12:59,Companies & groups,1,2,3,3,17,1,2,,1,2,firm,european,spain,spain_0,15,150000,150000,4,11.91839057,6500000,15.68731273,7,180.3839124,5.195087426,0.158177354,6.428571429,1.860752341,6,16.15789474,2.782408769,0,0,5.949782707,-13.13109166,0.689742128,0,0,-0.777135374,179.7807439,-1.223064992,
4,4,aci-europe,b,01/07/2013 15:12,umbrella,0,1,4,4,53,0,0,,1,1,association,european,belgium,belgium_1,2,1124500,"50,000 € - 99,999 €",6,13.93284905,496178254,20.0224458,2,9.60376869,2.262155593,0.5,2,0.693147181,4,3,1.098612289,0.278901803,0.534776952,,-4.534786373,1,1.597729574,0.468583605,1.670552908,9.000600152,-0.881242346,
5,5,acogen,b,01/08/2013 15:53,umbrella,0,1,5,5,22,0,0,,0,0,association,european,spain,spain_1,15,74999.5,"2,500,000 € - 2,749,000 €",4,11.22523673,,,7,383.8173313,5.95016674,0.15523496,6.428571429,1.860752341,2,27.88461538,3.328075117,0.83670541,1.604330855,,-12.86333512,1.17441633,2.003289568,0.694790613,2.291862334,383.2141628,-1.226007386,
6,6,actionaid,a,02/07/2013 15:48,ngo & think tank,1,3,6,6,0,0,0,,0,0,ngo,global,belgium,belgium_0,2,115403,"2,500,000 € - 2,749,000 €",4,11.65618563,,,1,0,0,1,1,0,3,1,0,0,0,1,1.420369299,-7.543068544,0,NA,-0.777135374,-0.603168538,-0.381242346,
7,7,adene,b,02/07/2013 21:48,Companies & groups,1,2,7,7,100,0,0,,0,0,firm,european,portugal,portugal_0,14,150000,"700,000 € - 799,999 €",4,11.91839057,,,1,0,0,1,1,0,2,1,0,0,0,1.545307987,5.968811652,0.153819184,1.026991665,0.026633815,0.796194372,-0.603168538,-0.381242346,
8,8,adhr,a,02/07/2013 17:36,umbrella,0,1,8,8,0,0,0,,1,2,interest group of legal entities,european,czech republic,czech republic_1,3,,"900,000 € - 999,999 €",0,,,,1,0,0,1,1,0,5,0,NA,0.139450902,0.267388476,,2,-1.069068385,0,NA,-0.777135374,-0.603168538,-0.381242346,
9,9,aebiom,a,01/08/2013 15:55,umbrella,0,1,9,5,16,0,0,,0,0,association,european,belgium,belgium_1,2,225000,"800,000 € - 899,999 €",5,12.32385568,,,16,2244.999353,7.716460512,0.075120125,15.375,2.732742814,5,31.81481481,3.459932056,2.37970665,1.648895601,,6.819680441,1,0,NA,-0.777135374,2244.396184,-1.306122221,
10,10,aee,b,02/07/2013 17:59,umbrella,0,1,7,7,22,0,0,,1,2,association,european,spain,spain_1,15,72500,,4,11.19134184,1254095,14.04192475,7,181.0200653,5.198607883,0.168442113,5.857142857,1.767661918,6,26.10638298,3.262179843,0.83670541,1.604330855,,-1.746363527,-2.347619346,0.908908735,-0.095510591,0.615293793,180.4168968,-1.212800233,
11,11,aegpl,b,28/06/2013 13:24,umbrella,0,1,10,6,100,0,0,,0,0,association,european,belgium,belgium_1,2,110000,"110,000 €",5,11.60823564,,,2,0,0,0.70703125,1,0,1,3.8,1.335001067,0.404407615,0.133694238,,7.359220437,-2.018408235,0.277987164,-1.280180339,-0.351264854,-0.603168538,-0.674211096,
12,12,afep,a,02/07/2013 12:16,umbrella,0,1,8,8,14,0,0,,0,0,association,european,france,france_1,6,1124500,"200,000€ - 250,000€",6,13.93284905,,,9,1351.289515,7.208814612,0.111111111,9,2.197224577,3,25.44,3.236322738,1.255058115,2.406496283,,-1.393778894,1.44854764,0.693147181,-0.36651292,0.284751607,1350.686346,-1.270131235,
13,13,aie,a,02/07/2013 23:46,umbrella,0,1,11,9,0,0,0,,0,0,association,european,belgium,belgium_1,2,150000,"200,000€ - 250,000€",4,11.91839057,,,1,0,0,1,1,0,1,1,0,0.139450902,0.267388476,,15.38031153,0.918715063,0.34657359,-1.059660102,-0.246191884,-0.603168538,-0.381242346,
14,14,aive,b,01/08/2013 16:02,umbrella,0,1,12,10,0,0,0,,1,1,association,european,portugal,portugal_1,14,9999,"2,000,000 € - 2,249,999 €",2,9.210240367,,,1,0,0,1,1,0,1,1,0,0.181286172,0.133694238,,4,-7.32932907,0.215761554,-1.533581398,-0.446593187,-0.603168538,-0.381242346,
15,15,alstom,a,20/06/2013 00:36,Companies & groups,1,2,9,11,25,1,1,,1,1,firm,global,france,france_0,6,449999.5,"10,000 € - 24,999 €",6,13.01700175,210000000,19.16261809,5,810.7051538,6.697904429,0.2,5,1.609437912,5,4,1.386294361,0,0,1.111170306,-7.252111017,1,2.011227196,0.698745081,2.304022614,810.1019853,-1.181242346,
16,16,amcham,a,02/07/2013 22:06,umbrella,0,1,13,12,27,0,0,,1,2,chamber,european,usa,usa_1,19,1124500,"< 9,999 €",6,13.93284905,,,4,159.8350101,5.074142096,0.25,4,1.386294361,5,9.32,2.232162629,0.557803607,1.069553903,,8.522580801,2.777355909,0,NA,-0.777135374,159.2318416,-1.131242346,
17,17,anigas,a,02/07/2013 11:42,umbrella,0,1,11,9,23,0,0,,0,0,association,european,italy,italy_1,10,74999.5,"10,000 € - 24,999 €",4,11.22523673,,,7,232.5845381,5.449253764,0.179519558,5.857142857,1.767661918,1,22.04347826,3.093016788,0.83670541,1.604330855,,-6.538675385,2.777355909,0.306495374,-1.182552617,-0.307590873,231.9813696,-1.201722788,
18,18,aop,b,01/08/2013 16:28,umbrella,0,1,12,10,55,0,0,,1,1,association,european,spain,spain_1,15,150000,"< 9,999 €",4,11.91839057,,,2,8.792400627,2.173887783,0.5,2,0.693147181,2,3,1.098612289,0.278901803,0.534776952,,3.219615835,9.781659784,0,NA,-0.777135374,8.189232089,-0.881242346,
19,19,apere,a,02/07/2013 12:53,umbrella,0,1,11,9,100,0,0,,0,0,association,global,belgium,belgium_1,2,650000,"650,000 €",6,13.38472764,,,2,263.1911207,5.572880463,0.5,2,0.693147181,1,2.714285714,0.99852883,0.720240921,-0.89129492,,2.543668637,-6.45305851,0,NA,-0.777135374,262.5879522,-0.881242346,
20,20,apetro,b,02/07/2013 13:34,umbrella,0,1,12,10,40,0,0,,1,1,association,european,portugal,portugal_1,14,37499.5,"50,000 € - 99,999 €",3,10.53208288,,,4,124.4446658,4.823861166,0.344726563,3.5,1.252762968,2,4.555555556,1.516347489,0.418352705,0.802165428,,5.398928712,1,0,NA,-0.777135374,123.8414973,-1.036515783,
21,21,appa,a,02/07/2013 09:25,umbrella,0,1,14,6,35,0,0,,1,1,association,european,spain,spain_1,15,1000000,1000000,4,13.81551056,75000000,18.13299867,9,460.1181253,6.131483251,0.124707032,8.333333333,2.120263536,8,35.36666667,3.565769757,0.418352705,0.802165428,,-8.852746977,-6.640344302,0,NA,-0.777135374,459.5149568,-1.256535314,
22,22,apren,a,02/07/2013 15:37,umbrella,0,1,15,13,100,0,0,,1,2,association,european,portugal,portugal_1,14,125710,"125,710 €",4,11.74173295,,,4,111.3564475,4.712736295,0.25,4,1.386294361,7,16.70731707,2.815846771,0,0,,5.668342193,-1.10607151,0.431523109,-0.840434215,-0.116050998,110.753279,-1.131242346,
23,23,assoelettrica,a,02/07/2013 20:43,umbrella,0,1,15,13,25,0,0,,0,0,association,european,italy,italy_1,10,,"400,000 € - 499,999 €",0,,418900000,19.85314279,5,110.3398092,4.703564779,0.2,5,1.609437912,4,6.793103448,1.915907899,0.697254508,1.336942379,,-7.820564582,1.943701889,0,NA,-0.777135374,109.7366407,-1.181242346,
24,24,austrian biomass association,b,21/06/2013 15:25,umbrella,0,1,7,7,100,0,0,,1,1,association,european,austria,austria_1,1,225000,"50,000 € - 99,999 €",5,12.32385568,,,1,0,0,1,1,0,4,1,0,0,0,,4.409840221,-7.32932907,1.747263157,0.558050653,1.899635229,-0.603168538,-0.381242346,
25,25,basf,b,01/08/2013 16:42,Companies & groups,1,2,16,14,15,1,5,,1,1,firm,global,germany,greece_,7,3100000,"72,500 €",8,14.94691267,77000000,18.15931598,12,1624.866126,7.393180707,0.100925463,11,2.397895273,4,32.96428571,3.495424724,0,0,-1.537737828,4.267467908,-1.691798114,0,0,-0.777135374,1624.262957,-1.280316883,
26,26,bee,a,18/06/2013 17:08,umbrella,0,1,14,6,100,0,0,,0,0,association,european,germany,germany_1,7,17499.5,"100,000 € - 199,999 €",2,9.769927588,,,1,0,0,1,1,0,5,0,NA,0.139450902,0.267388476,,2,0.831313832,0,NA,-0.777135374,-0.603168538,-0.381242346,
